time_s,total_load_kw,total_queue,bus_0_soc,bus_1_soc,bus_2_soc,bus_3_soc,bus_4_soc,bus_0_charging,bus_1_charging,bus_2_charging,bus_3_charging,bus_4_charging
3394,240.0,4,57.36883777421842,58.956525232304834,33.0555555555558,0.0,30.88888888888902,0,0,1,1,0
3396,240.0,4,57.31887112478896,58.91253207218462,33.11111111111135,0.0,30.94444444444458,0,0,1,1,0
3398,240.0,4,57.26890447535952,58.868538912064395,33.16666666666691,0.0,31.00000000000014,0,0,1,1,0
3400,240.0,4,57.21893782593007,58.82454575194418,33.22222222222247,0.0,31.055555555555696,0,0,1,1,0
3402,240.0,4,57.16897117650063,58.78055259182396,33.27777777777803,0.0,31.111111111111256,0,0,1,1,0
3404,240.0,4,57.11900452707117,58.73655943170374,33.333333333333584,0.0,31.166666666666814,0,0,1,1,0
3406,240.0,4,57.069037877641726,58.69256627158352,33.38888888888915,0.0,31.222222222222374,0,0,1,1,0
3408,240.0,4,57.01907122821228,58.64857311146331,33.444444444444706,0.0,31.27777777777793,0,0,1,1,0
3410,240.0,4,56.969104578782826,58.604579951343084,33.50000000000026,0.0,31.333333333333492,0,0,1,1,0
3412,240.0,4,56.91913792935338,58.56058679122287,33.55555555555582,0.0,31.38888888888905,0,0,1,1,0
3414,240.0,4,56.86917127992393,58.51659363110265,33.61111111111138,0.0,31.444444444444603,0,0,1,1,0
3416,240.0,4,56.81920463049449,58.47260047098243,33.66666666666694,0.0,31.50000000000016,0,0,1,1,0
3418,240.0,4,56.76923798106503,58.42860731086221,33.7222222222225,0.0,31.55555555555572,0,0,1,1,0
3420,240.0,4,56.71927133163559,58.384614150741996,33.777777777778056,0.0,31.611111111111278,0,0,1,1,0
3422,240.0,4,56.669304682206146,58.34062099062177,33.83333333333361,0.0,31.66666666666684,0,0,1,1,0
3424,240.0,4,56.6193380327767,58.296627830501556,33.88888888888918,0.0,31.722222222222396,0,0,1,1,0
3426,240.0,4,56.569371383347246,58.25263467038134,33.94444444444473,0.0,31.777777777777956,0,0,1,1,0
3428,240.0,4,56.5194047339178,58.20864151026112,34.000000000000284,0.0,31.833333333333513,0,0,1,1,0
3430,240.0,4,56.46943808448835,58.1646483501409,34.05555555555584,0.0,31.88888888888907,0,0,1,1,0
3432,240.0,4,56.41947143505891,58.120655190020685,34.111111111111406,0.0,31.94444444444463,0,0,1,1,0
3434,240.0,4,56.36950478562945,58.07666202990046,34.16666666666696,0.0,32.00000000000019,0,0,1,1,0
3436,240.0,4,56.31953813620001,58.032668869780245,34.22222222222252,0.0,32.05555555555575,0,0,1,1,0
3438,240.0,4,56.269571486770566,57.98867570966003,34.27777777777808,0.0,32.111111111111306,0,0,1,1,0
3440,240.0,4,56.21960483734111,57.944682549539806,34.33333333333364,0.0,32.16666666666686,0,0,1,1,0
3442,240.0,4,56.169638187911666,57.90068938941959,34.3888888888892,0.0,32.22222222222243,0,0,1,1,0
3444,240.0,4,56.119671538482216,57.856696229299374,34.444444444444756,0.0,32.27777777777798,0,0,1,1,0
3446,240.0,4,56.06970488905277,57.81270306917915,34.50000000000031,0.0,32.333333333333535,0,0,1,1,0
3448,240.0,4,56.019738239623315,57.768709909058934,34.55555555555587,0.0,32.38888888888909,0,0,1,1,0
3450,240.0,4,55.96977159019387,57.72471674893872,34.611111111111434,0.0,32.444444444444656,0,0,1,1,0
3452,240.0,4,55.91980494076443,57.680723588818495,34.66666666666699,0.0,32.50000000000021,0,0,1,1,0
3454,240.0,4,55.869838291334986,57.63673042869828,34.72222222222255,0.0,32.55555555555577,0,0,1,1,0
3456,240.0,4,55.81987164190553,57.59273726857806,34.7777777777781,0.0,32.61111111111133,0,0,1,1,0
3458,240.0,4,55.769904992476086,57.54874410845784,34.83333333333366,0.0,32.666666666666885,0,0,1,1,0
3460,240.0,4,55.719938343046636,57.50475094833762,34.88888888888922,0.0,32.72222222222245,0,0,1,1,0
3462,240.0,4,55.66997169361719,57.46075778821741,34.94444444444478,0.0,32.777777777778006,0,0,1,1,0
3464,240.0,4,55.620005044187735,57.416764628097184,35.000000000000334,0.0,32.83333333333356,0,0,1,1,0
3466,240.0,4,55.57003839475829,57.37277146797697,35.0555555555559,0.0,32.88888888888912,0,0,1,1,0
3468,240.0,4,55.52007174532885,57.32877830785675,35.111111111111455,0.0,32.944444444444684,0,0,1,1,0
3470,240.0,4,55.47010509589939,57.28478514773653,35.16666666666701,0.0,33.00000000000024,0,0,1,1,0
3472,240.0,4,55.42013844646995,57.24079198761631,35.22222222222257,0.0,33.0555555555558,0,0,1,1,0
3474,240.0,4,55.3701717970405,57.196798827496096,35.27777777777813,0.0,33.11111111111135,0,0,1,1,0
3476,240.0,4,55.320205147611055,57.15280566737587,35.33333333333369,0.0,33.16666666666691,0,0,1,1,0
3478,240.0,4,55.2702384981816,57.10881250725566,35.38888888888925,0.0,33.22222222222247,0,0,1,1,0
3480,240.0,4,55.220271848752155,57.06481934713544,35.444444444444805,0.0,33.27777777777803,0,0,1,1,0
3482,240.0,4,55.17030519932271,57.02082618701522,35.50000000000036,0.0,33.333333333333584,0,0,1,1,0
3484,240.0,4,55.12033854989327,56.976833026895,35.55555555555593,0.0,33.38888888888915,0,0,1,1,0
3486,240.0,4,55.07037190046381,56.932839866774785,35.61111111111148,0.0,33.444444444444706,0,0,1,1,0
3488,240.0,4,55.02040525103437,56.88884670665456,35.666666666667034,0.0,33.50000000000026,0,0,1,1,0
3490,240.0,4,54.97043860160492,56.844853546534345,35.72222222222259,0.0,33.55555555555582,0,0,1,1,0
3492,240.0,4,54.920471952175475,56.80086038641413,35.777777777778155,0.0,33.61111111111138,0,0,1,1,0
3494,240.0,4,54.87050530274602,56.756867226293906,35.83333333333371,0.0,33.66666666666694,0,0,1,1,0
3496,240.0,4,54.820538653316575,56.71287406617369,35.88888888888927,0.0,33.7222222222225,0,0,1,1,0
3498,240.0,4,54.77057200388713,56.668880906053474,35.94444444444483,0.0,33.777777777778056,0,0,1,1,0
3500,240.0,4,54.720605354457675,56.62488774593325,36.000000000000384,0.0,33.83333333333361,0,0,1,1,0
3502,240.0,4,54.67063870502823,56.580894585813034,36.05555555555595,0.0,33.88888888888918,0,0,1,1,0
3504,240.0,4,54.62067205559878,56.53690142569282,36.111111111111505,0.0,33.94444444444473,0,0,1,1,0
3506,240.0,4,54.57070540616934,56.492908265572595,36.16666666666706,0.0,34.000000000000284,0,0,1,1,0
3508,240.0,4,54.52073875673988,56.44891510545238,36.22222222222262,0.0,34.05555555555584,0,0,1,1,0
3510,240.0,4,54.47077210731044,56.40492194533216,36.277777777778184,0.0,34.111111111111406,0,0,1,1,0
